Jan 2016,,,Parking Lot Duty
Sunday School,Sunday Morning Service,Sunday Evening Service,Wednesday Evening Service
9:00 - 10:15,10:15 - 11:45,5:30 - 8:15,6:30 - 8:15
3-Jan,3-Jan,3-Jan,6-Jan
,,,
Johnny Smith,Johnny Long,Keith Ross,Albert Butler
Daniel Washington,James Watson,Kenneth Martin,Steve Martinez
John Henderson,Billy Williams,Craig Davis,Steven Wilson
,,,
10-Jan,10-Jan,10-Jan,13-Jan
,,,
Randy Wilson,Aaron Bell,Harry Gonzalez,Richard Kelly
Jose Perry,Jimmy Roberts,Gerald Coleman,Jerry Peterson
Howard Morris,Henry Harris,Richard Bryant,Justin Wood
,,,
17-Jan,17-Jan,17-Jan,20-Jan
,,,
Peter Rivera,Carl Ramirez,Robert Taylor,Carl Mitchell
Jeremy Evans,Jesse Gonzales,Steve Johnson,Keith Hill
George Rogers,Chris Evans,Walter Brown,Bobby Bailey
,,,
24-Jan,24-Jan,24-Jan,27-Jan
,,,
Brian Price,Martin Rodriguez,Richard Miller,James Watson
William Bryant,Billy Williams,Kenneth Martin,Steve Martinez
Steven Patterson,Craig Davis,Keith Ross,Albert Butler
,,,
31-Jan,31-Jan,31-Jan
,,,
Larry Parker,Johnny Long,Jose Perry
Daniel Washington,Aaron Bell,Richard Bryant
Howard Morris,Harry Gonzalez,Randy Wilson
,,,
"Please check in with me a minimum of thirty (30) minutes prior to time of duty. When you check in with me, I will show you your location of service. When"
"you need to make changes, please call me at least 24 hours in advance of the change you will be making.Thank you in advance for your help and dedication"
"in keeping our church and member's property safe."
,"GOD BLESS YOU!"
,"Carlos Miller: 123-456-7890"
