Jan 2016,,,Parking Lot Duty
Sunday School,Sunday Morning Service,Sunday Evening Service,Wednesday Evening Service
9:00 - 10:15,10:15 - 11:45,5:30 - 8:15,6:30 - 8:15
3-Jan,3-Jan,3-Jan,6-Jan
,,,
Steve Martinez,Walter Brown,Chris Evans,Richard Kelly
Craig Davis,Keith Hill,John Henderson,Gerald Coleman
Henry Harris,Albert Butler,Jesse Gonzales,Jerry Peterson
,,,
10-Jan,10-Jan,10-Jan,13-Jan
,,,
Jose Perry,Wayne Long,Steven Wilson,Justin Wood
Chris Clark,Keith Ross,Richard Bryant,James Watson
Jimmy Roberts,Steve Johnson,Richard Miller,Howard Morris
,,,
17-Jan,17-Jan,17-Jan,20-Jan
,,,
Peter Rivera,Aaron Bell,Carl Mitchell,Bobby Bailey
Brian Price,Johnny Long,Harry Gonzalez,Billy Williams
Carl Ramirez,Randy Wilson,Kenneth Martin,Daniel Washington
,,,
24-Jan,24-Jan,24-Jan,27-Jan
,,,
Martin Rodriguez,Jeremy Evans,Steve Martinez,Johnny Smith
William Bryant,Robert Taylor,Keith Hill,George Rogers
Larry Parker,Albert Butler,Craig Davis,Jerry Peterson
,,,
31-Jan,31-Jan,31-Jan
,,,
Steven Patterson,Walter Brown,Richard Bryant
Chris Clark,Wayne Long,Keith Ross
Steve Johnson,Jose Perry,Richard Miller
,,,
"Please check in with me a minimum of thirty (30) minutes prior to time of duty. When you check in with me, I will show you your location of service. When"
"you need to make changes, please call me at least 24 hours in advance of the change you will be making.Thank you in advance for your help and dedication"
"in keeping our church and member's property safe."
,"GOD BLESS YOU!"
,"Carlos Miller: 123-456-7890"
